GeneID,BC1,BC2,BC3,,,,,
AT1G01010,7.0 ,4.7 ,6.7 ,,,,,
AT1G01020,52.4 ,55.5 ,61.9 ,,,,,
AT1G01030,0.0 ,0.0 ,0.0 ,,,,,
AT1G01040,5.1 ,3.9 ,4.4 ,,,,,
AT1G01046,0.0 ,0.0 ,0.0 ,,,,,
AT1G01050,110.7 ,140.2 ,127.2 ,,,,,
AT1G01060,8.1 ,7.0 ,7.4 ,,,,,
AT1G01070,0.0 ,0.0 ,0.0 ,,,,,
AT1G01073,0.0 ,0.0 ,0.0 ,,,,,
AT1G01080,13.7 ,11.5 ,18.2 ,,,,,
AT1G01090,82.2 ,103.4 ,72.9 ,,,,,
AT1G01100,576.1 ,579.5 ,547.3 ,,,,,
AT1G01110,11.2 ,9.8 ,8.0 ,,,,,
AT1G01115,0.0 ,0.0 ,0.0 ,,,,,
AT1G01120,0.0 ,0.0 ,0.0 ,,,,,
AT1G01130,0.2 ,0.4 ,0.2 ,,,,,
AT1G01140,13.6 ,17.2 ,12.9 ,,,,,
AT1G01150,0.0 ,0.0 ,0.0 ,,,,,
AT1G01160,128.9 ,133.3 ,110.5 ,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AT1G01170,0.0 ,0.7 ,2.0 ,,,,,
AT1G01180,0.0 ,0.1 ,0.0 ,,,,,
AT1G01183,0.0 ,0.0 ,0.0 ,,,,,
AT1G01190,0.0 ,0.0 ,0.0 ,,,,,
AT1G01200,0.0 ,0.0 ,0.0 ,,,,,
AT1G01210,123.0 ,131.1 ,127.5 ,,,,,
AT1G01220,0.6 ,0.9 ,0.6 ,,,,,
AT1G01225,0.0 ,0.0 ,0.0 ,,,,,
AT1G01230,77.3 ,56.3 ,72.7 ,,,,,
AT1G01240,0.0 ,0.0 ,0.0 ,,,,,
AT1G01250,0.0 ,0.0 ,0.0 ,,,,,
AT1G01260,8.1 ,6.0 ,11.7 ,,,,,
AT1G01270,0.0 ,0.0 ,0.0 ,,,,,
AT1G01280,0.0 ,0.0 ,0.0 ,,,,,
AT1G01290,68.2 ,61.4 ,69.2 ,,,,,
AT1G01300,234.4 ,215.7 ,187.1 ,,,,,
AT1G01305,0.0 ,0.0 ,0.0 ,,,,,
AT1G01310,6.7 ,6.0 ,4.7 ,,,,,
AT1G01320,6.4 ,5.7 ,7.0 ,,,,,
AT1G01340,0.0 ,0.0 ,0.0 ,,,,,
AT1G01350,43.1 ,37.3 ,38.1 ,,,,,
AT1G01355,9.0 ,6.3 ,6.9 ,,,,,
AT1G01360,17.9 ,14.1 ,19.5 ,,,,,
AT1G01370,89.5 ,91.8 ,91.0 ,,,,,
AT1G01380,0.0 ,0.0 ,0.0 ,,,,,
AT1G01390,0.0 ,0.0 ,0.0 ,,,,,
AT1G01400,0.0 ,0.0 ,0.0 ,,,,,
AT1G01410,0.0 ,0.0 ,0.0 ,,,,,
AT1G01420,0.0 ,0.0 ,0.0 ,,,,,
AT1G01430,11.2 ,9.6 ,13.5 ,,,,,
AT1G01440,2.0 ,1.1 ,1.7 ,,,,,
AT1G01448,5.6 ,9.2 ,7.2 ,,,,,
AT1G01450,1.1 ,3.3 ,2.1 ,,,,,
AT1G01453,0.0 ,0.0 ,0.0 ,,,,,
AT1G01460,0.0 ,0.0 ,0.0 ,,,,,
AT1G01470,0.0 ,0.0 ,0.0 ,,,,,
AT1G01471,0.0 ,0.0 ,0.0 ,,,,,
AT1G01480,0.0 ,0.0 ,0.0 ,,,,,
AT1G01490,12.4 ,12.5 ,10.8 ,,,,,
AT1G01500,10.6 ,9.5 ,11.1 ,,,,,
AT1G01510,60.3 ,58.1 ,53.1 ,,,,,
AT1G01520,10.7 ,8.0 ,9.3 ,,,,,
