GeneID,AC1,AC2,AC3
AT1G01010,1.4 ,0.6 ,1.4 
AT1G01020,26.1 ,17.0 ,19.0 
AT1G01030,0.0 ,0.0 ,0.0 
AT1G01040,1.1 ,0.4 ,0.8 
AT1G01046,0.0 ,0.0 ,0.0 
AT1G01050,143.2 ,119.7 ,152.7 
AT1G01060,3.6 ,0.0 ,0.0 
AT1G01070,0.0 ,0.0 ,0.0 
AT1G01073,0.0 ,0.0 ,0.0 
AT1G01080,11.6 ,12.9 ,12.7 
AT1G01090,147.3 ,138.6 ,128.3 
AT1G01100,726.2 ,745.5 ,681.2 
AT1G01110,0.0 ,0.0 ,0.0 
AT1G01115,0.0 ,0.0 ,0.0 
AT1G01120,1.4 ,0.0 ,0.0 
AT1G01130,1.6 ,2.6 ,0.0 
AT1G01140,17.7 ,17.4 ,20.2 
AT1G01150,7.5 ,8.2 ,10.2 
AT1G01160,139.5 ,142.8 ,142.4 
AT1G01170,0.0 ,1.1 ,0.0 
AT1G01180,0.0 ,0.0 ,0.0 
AT1G01183,0.0 ,0.0 ,0.0 
AT1G01190,0.0 ,0.0 ,0.0 
AT1G01200,0.0 ,0.0 ,0.0 
AT1G01210,88.4 ,83.5 ,91.1 
AT1G01220,2.9 ,3.3 ,0.0 
AT1G01225,7.9 ,5.7 ,9.8 
AT1G01230,59.7 ,41.6 ,53.4 
AT1G01240,5.8 ,13.6 ,4.2 
AT1G01250,0.0 ,0.0 ,0.0 
AT1G01260,19.8 ,15.7 ,20.1 
AT1G01270,0.0 ,0.0 ,0.0 
AT1G01280,0.0 ,0.0 ,0.0 
AT1G01290,17.9 ,15.4 ,4.6 
AT1G01300,217.6 ,288.9 ,180.3 
AT1G01305,0.0 ,0.0 ,0.0 
AT1G01310,3.1 ,1.8 ,4.1 
AT1G01320,8.4 ,11.0 ,9.7 
AT1G01340,2.9 ,0.0 ,0.0 
AT1G01350,62.9 ,60.8 ,63.1 
AT1G01355,0.0 ,1.7 ,0.0 
AT1G01360,18.3 ,32.1 ,22.1 
AT1G01370,101.7 ,86.7 ,108.2 
AT1G01380,0.0 ,0.0 ,0.0 
AT1G01390,0.0 ,0.0 ,0.0 
AT1G01400,0.0 ,0.0 ,0.0 
AT1G01410,0.0 ,0.0 ,0.0 
AT1G01420,0.0 ,0.0 ,0.0 
AT1G01430,6.5 ,11.1 ,6.0 
AT1G01440,10.7 ,7.5 ,12.3 
AT1G01448,19.1 ,15.3 ,19.2 
AT1G01450,1.1 ,3.7 ,1.2 
AT1G01453,0.0 ,0.0 ,0.0 
AT1G01460,0.0 ,0.0 ,0.0 
AT1G01470,0.0 ,0.0 ,0.0 
AT1G01471,0.0 ,0.0 ,0.0 
AT1G01480,0.0 ,0.0 ,0.0 
AT1G01490,0.0 ,3.0 ,0.0 
AT1G01500,16.7 ,12.3 ,18.5 
AT1G01510,26.1 ,34.2 ,27.1 
AT1G01520,0.0 ,0.0 ,0.0 
AT1G01530,0.2 ,0.1 ,0.8 
AT1G01540,38.3 ,40.8 ,45.8 
