Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_12100_i709_i507	5	0
SLX_12100_i702_i504	5	0.092332697
SLX_14255_i702_i507	9	0.094591433
SLX_14252_i703_i504	9	0.16617121
SLX_14255_i701_i503	9	0.207340275
SLX_14255_i705_i506	9	0.208541108
SLX_12100_i709_i504	5	0.227605988
SLX_14255_i703_i504	9	0.23959459
SLX_14254_i712_i506	9	0.245694949
SLX_14253_i710_i503	3	0.246099162
SLX_14254_i707_i505	9	0.248071256
SLX_12100_i712_i508	5	0.281432475
SLX_14254_i709_i506	9	0.284683402
SLX_17311_i715_i502	5	0.294029078
SLX_14254_i709_i508	3	0.334593833
SLX_14253_i702_i502	9	0.334964154
SLX_14254_i709_i507	4	0.3375646
SLX_14255_i702_i505	3	0.340706229
SLX_14252_i701_i506	9	0.3514962
SLX_14252_i702_i504	3	0.378527623
SLX_14254_i708_i504	4	0.394315581
SLX_14252_i704_i508	9	0.427052328
SLX_12100_i704_i505	5	0.437802713
SLX_14254_i712_i505	9	0.457773483
SLX_14254_i708_i503	5	0.470439575
SLX_14253_i712_i508	5	0.483328311
SLX_14253_i712_i506	9	0.488322396
SLX_14254_i708_i507	5	0.509849148
SLX_14253_i712_i502	4	0.536661481
SLX_14254_i707_i508	3	0.544374423
SLX_14251_i706_i506	4	0.568460427
SLX_12100_i702_i506	5	0.582517359
SLX_14254_i709_i503	3	0.603295326
SLX_14253_i709_i507	9	0.619603569
SLX_12100_i706_i504	5	0.626094315
SLX_14254_i711_i507	9	0.630373985
SLX_14252_i702_i505	2	0.639130014
SLX_14253_i710_i517	3	0.651526733
SLX_12100_i712_i506	5	0.673295015
SLX_14259_i727_i516	2	0.683252836
SLX_14255_i701_i505	4	0.690726592
SLX_14254_i711_i505	4	0.708314447
SLX_14255_i701_i502	9	0.725853186
SLX_14252_i703_i508	3	0.739210123
SLX_17312_i726_i515	2	0.744757244
SLX_14255_i702_i517	4	0.753079767
SLX_14259_i704_i508	5	0.76268375
SLX_14255_i704_i508	3	0.768619782
SLX_14253_i710_i506	3	0.782546202
SLX_14253_i712_i504	5	0.787132188
SLX_17312_i712_i503	5	0.791360768
SLX_14251_i703_i506	9	0.793321518
SLX_14251_i706_i508	5	0.797243913
SLX_14259_i701_i503	5	0.82440172
SLX_14251_i704_i505	3	0.825828051
SLX_17311_i711_i502	4	0.827107954
SLX_14255_i705_i508	5	0.835504502
SLX_14259_i718_i513	2	0.838259305
SLX_14251_i706_i504	5	0.845289381
SLX_12100_i702_i508	5	0.854771632
SLX_14255_i706_i508	4	0.855831989
SLX_14253_i712_i505	5	0.858250435
SLX_14259_i704_i503	5	0.85837293
SLX_14252_i708_i505	3	0.867128286
SLX_14255_i703_i506	4	0.878091498
SLX_14259_i716_i520	5	0.883805979
SLX_12100_i701_i506	4	0.887694607
SLX_14254_i712_i508	5	0.888907939
SLX_14252_i704_i517	4	0.889151021
SLX_14252_i703_i505	4	0.913539779
SLX_17313_i705_i508	4	0.934120427
SLX_14259_i701_i506	5	0.94849395
SLX_14259_i703_i506	5	0.955079684
SLX_14255_i706_i517	4	0.963498878
SLX_14254_i710_i502	5	0.967167738
SLX_14259_i714_i510	4	0.968595253
SLX_14253_i710_i504	4	0.979359511
SLX_14254_i710_i517	9	0.98481407
SLX_12100_i712_i505	5	1.000955539
SLX_17312_i703_i510	5	1.008338311
SLX_12100_i712_i504	5	1.013338275
SLX_14254_i709_i505	3	1.019204756
SLX_14251_i707_i502	4	1.026614417
SLX_14259_i707_i505	5	1.032655585
SLX_14253_i704_i506	4	1.034693073
SLX_14254_i707_i507	5	1.042538332
SLX_14255_i704_i517	4	1.044434307
SLX_14253_i704_i503	3	1.047729176
SLX_17313_i702_i508	2	1.068829038
SLX_14253_i703_i517	5	1.077180808
SLX_17313_i720_i522	2	1.079153693
SLX_14255_i701_i507	4	1.083829571
SLX_14251_i704_i503	5	1.088973394
SLX_14255_i703_i517	4	1.096471973
SLX_14251_i702_i505	9	1.109515561
SLX_14254_i711_i503	4	1.112729248
SLX_14252_i705_i503	4	1.115565274
SLX_12100_i708_i508	4	1.11866837
SLX_14255_i704_i503	5	1.126062887
SLX_12100_i705_i504	5	1.153673409
SLX_14259_i727_i521	5	1.153773186
SLX_12100_i701_i508	5	1.162116692
SLX_17311_i726_i513	4	1.167703849
SLX_17311_i727_i516	2	1.171687853
SLX_14259_i715_i511	5	1.17188114
SLX_17312_i729_i521	5	1.185619541
SLX_14254_i710_i504	4	1.202504026
SLX_12100_i703_i508	2	1.210343071
SLX_14254_i707_i506	4	1.213363464
SLX_14254_i711_i517	5	1.22813189
SLX_14252_i708_i506	4	1.232823247
SLX_17313_i706_i506	5	1.262182922
SLX_14259_i701_i505	4	1.262519221
SLX_14259_i703_i502	5	1.27137532
SLX_14251_i701_i504	3	1.283897944
SLX_14252_i704_i503	4	1.292100518
SLX_17311_i724_i516	2	1.297614382
SLX_14253_i701_i508	4	1.30165408
SLX_14254_i710_i505	4	1.308525103
SLX_14253_i703_i504	5	1.318208001
SLX_14253_i701_i503	5	1.323326149
SLX_14255_i706_i504	5	1.333320221
SLX_12100_i701_i505	4	1.333399152
SLX_14253_i711_i506	4	1.337403387
SLX_14259_i706_i508	5	1.345782341
