PeakID (cmd=annotatePeaks.pl /home/merk/data/ChIP_DAP/peaks/master_peaks_overlapped.bed /home/merk/data/genomes/ncbi-genomes-2022-03-15/TAIR10.fasta -gtf /home/merk/data/genomes/TAIR10_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
PLT7_ampDAP_peak_36	chr1	1845355	1845355	+	142.807	NA	intron (AT1G06080.1, intron 4 of 4)	-intron (AT1G06080.1, intron 4 of 4)	1787	AT1G06080.1	AT1G06080	AT1G06080						NA
35S_BBM_GFP_ChIP_peak_19158	chr5	22753252	22753252	+	123.462	NA	promoter-TSS (AT5G56210.1)	-promoter-TSS (AT5G56210.1)	-520	AT5G56210.1	AT5G56210	AT5G56210						NA
35S_BBM_GFP_ChIP_peak_18448	chr5	19115613	19115613	+	123.462	NA	Intergenic	Intergenic	-1175	AT5G47060.1	AT5G47060	AT5G47060						NA
35S_BBM_GFP_ChIP_peak_15017	chr4	16769521	16769521	+	122.03	NA	Intergenic	Intergenic	-2434	AT4G35240.1	AT4G35240	AT4G35240						NA
35S_BBM_GFP_ChIP_peak_14656	chr4	15023065	15023065	+	120.84	NA	promoter-TSS (AT4G30850.1)	-promoter-TSS (AT4G30850.1)	-620	AT4G30850.2	AT4G30850	AT4G30850						NA
35S_BBM_GFP_ChIP_peak_3388	chr1	20563529	20563529	+	119.145	NA	promoter-TSS (AT1G55110.1)	-promoter-TSS (AT1G55110.1)	-358	AT1G55110.1	AT1G55110	AT1G55110						NA
35S_BBM_GFP_ChIP_peak_14398	chr4	13912868	13912868	+	118.954	NA	Intergenic	Intergenic	-2009	AT4G27950.1	AT4G27950	AT4G27950						NA
35S_BBM_GFP_ChIP_peak_15783	chr5	1034660	1034660	+	118.761	NA	promoter-TSS (AT5G03860.1)	-promoter-TSS (AT5G03860.1)	-90	AT5G03860.1	AT5G03860	AT5G03860						NA
35S_BBM_GFP_ChIP_peak_19493	chr5	24236608	24236608	+	118.572	NA	TTS (AT5G60190.1)	-TTS (AT5G60190.1)	2067	AT5G60190.1	AT5G60190	AT5G60190						NA
35S_BBM_GFP_ChIP_peak_18345	chr5	18576762	18576762	+	118.415	NA	intron (AT5G45800.1, intron 1 of 1)	-intron (AT5G45800.1, intron 1 of 1)	2345	AT5G45800.1	AT5G45800	AT5G45800						NA
35S_BBM_GFP_ChIP_peak_13188	chr4	7113860	7113860	+	117.958	NA	Intergenic	Intergenic	-1380	AT4G11820.1	AT4G11820	AT4G11820						NA
35S_BBM_GFP_ChIP_peak_18097	chr5	17196065	17196065	+	117.862	NA	promoter-TSS (AT5G42890.1)	-promoter-TSS (AT5G42890.1)	-33	AT5G42890.1	AT5G42890	AT5G42890						NA
35S_BBM_GFP_ChIP_peak_12100	chr3	21468198	21468198	+	117.82	NA	exon (AT3G57980.1, exon 2 of 3)	-exon (AT3G57980.1, exon 2 of 3)	950	AT3G57980.1	AT3G57980	AT3G57980						NA
35S_BBM_GFP_ChIP_peak_16248	chr5	3304775	3304775	+	117.747	NA	promoter-TSS (AT5G10490.1)	-promoter-TSS (AT5G10490.1)	-14	AT5G10490.1	AT5G10490	AT5G10490						NA
35S_BBM_GFP_ChIP_peak_17471	chr5	9742221	9742221	+	117.301	NA	promoter-TSS (AT5G27600.1)	-promoter-TSS (AT5G27600.1)	-355	AT5G27600.1	AT5G27600	AT5G27600						NA
35S_BBM_GFP_ChIP_peak_16883	chr5	6396183	6396183	+	117.249	NA	Intergenic	Intergenic	-5056	AT5G19095.1	AT5G19095	AT5G19095						NA
35S_BBM_GFP_ChIP_peak_12769	chr4	1308506	1308506	+	117.249	NA	intron (AT4G02940.1, intron 1 of 6)	-intron (AT4G02940.1, intron 1 of 6)	2003	AT4G02940.1	AT4G02940	AT4G02940						NA
35S_BBM_GFP_ChIP_peak_11825	chr3	20038738	20038738	+	117.184	NA	promoter-TSS (AT3G54100.1)	-promoter-TSS (AT3G54100.1)	58	AT3G54110.1	AT3G54110	AT3G54110						NA
35S_BBM_GFP_ChIP_peak_17490	chr5	9966641	9966641	+	116.71	NA	Intergenic	Intergenic	-5377	AT5G27930.2	AT5G27930	AT5G27930						NA
35S_BBM_GFP_ChIP_peak_17925	chr5	16281210	16281210	+	115.732	NA	promoter-TSS (AT5G40645.1)	-promoter-TSS (AT5G40645.1)	-194	AT5G40650.1	AT5G40650	AT5G40650						NA
35S_BBM_GFP_ChIP_peak_8722	chr3	495409	495409	+	115.593	NA	promoter-TSS (AT3G02410.1)	-promoter-TSS (AT3G02410.1)	-461	AT3G02410.1	AT3G02410	AT3G02410						NA
35S_BBM_GFP_ChIP_peak_17412	chr5	9296201	9296201	+	115.447	NA	exon (AT5G26731.1, exon 1 of 1)	-exon (AT5G26731.1, exon 1 of 1)	627	AT5G26731.1	AT5G26731	AT5G26731						NA
35S_BBM_GFP_ChIP_peak_18094	chr5	17183291	17183291	+	115.087	NA	promoter-TSS (AT5G42850.1)	-promoter-TSS (AT5G42850.1)	-668	AT5G42850.1	AT5G42850	AT5G42850						NA
35S_BBM_GFP_ChIP_peak_15617	chr5	434636	434636	+	114.662	NA	promoter-TSS (AT5G02190.1)	-promoter-TSS (AT5G02190.1)	-575	AT5G02190.1	AT5G02190	AT5G02190						NA
35S_BBM_GFP_ChIP_peak_18916	chr5	21626500	21626500	+	114.213	NA	Intergenic	Intergenic	-7233	AT5G53290.1	AT5G53290	AT5G53290						NA
35S_BBM_GFP_ChIP_peak_12383	chr3	22920166	22920166	+	114.016	NA	Intergenic	Intergenic	-2044	AT3G61897.1	AT3G61897	AT3G61897						NA
35S_BBM_GFP_ChIP_peak_17431	chr5	9471353	9471353	+	114.016	NA	promoter-TSS (AT5G26910.1)	-promoter-TSS (AT5G26910.1)	-621	AT5G26912.1	AT5G26912	AT5G26912						NA
35S_BBM_GFP_ChIP_peak_18432	chr5	19045573	19045573	+	113.71	NA	Intergenic	Intergenic	-1285	AT5G46910.1	AT5G46910	AT5G46910						NA
35S_BBM_GFP_ChIP_peak_14497	chr4	14338966	14338966	+	113.666	NA	Intergenic	Intergenic	-2034	AT4G29100.1	AT4G29100	AT4G29100						NA
35S_BBM_GFP_ChIP_peak_19560	chr5	24493234	24493234	+	113.486	NA	Intergenic	Intergenic	-1457	AT5G60890.1	AT5G60890	AT5G60890						NA
35S_BBM_GFP_ChIP_peak_17228	chr5	8266478	8266478	+	113.142	NA	promoter-TSS (AT5G24290.1)	-promoter-TSS (AT5G24290.1)	-312	AT5G24300.2	AT5G24300	AT5G24300						NA
35S_BBM_GFP_ChIP_peak_18604	chr5	19839724	19839724	+	113.119	NA	promoter-TSS (AT5G48940.1)	-promoter-TSS (AT5G48940.1)	14	AT5G48940.1	AT5G48940	AT5G48940						NA
35S_BBM_GFP_ChIP_peak_12124	chr3	21616500	21616500	+	113.077	NA	promoter-TSS (AT3G58430.1)	-promoter-TSS (AT3G58430.1)	-317	AT3G58430.1	AT3G58430	AT3G58430						NA
35S_BBM_GFP_ChIP_peak_1925	chr1	8960983	8960983	+	112.872	NA	promoter-TSS (AT1G25510.1)	-promoter-TSS (AT1G25510.1)	-135	AT1G25510.1	AT1G25510	AT1G25510						NA
35S_BBM_GFP_ChIP_peak_20076	chr5	26564066	26564066	+	112.852	NA	promoter-TSS (AT5G66560.1)	-promoter-TSS (AT5G66560.1)	-122	AT5G66560.1	AT5G66560	AT5G66560						NA
35S_BBM_GFP_ChIP_peak_15135	chr4	17237989	17237989	+	112.797	NA	Intergenic	Intergenic	-2471	AT4G36520.1	AT4G36520	AT4G36520						NA
35S_BBM_GFP_ChIP_peak_19504	chr5	24264499	24264499	+	112.584	NA	promoter-TSS (AT5G60300.1)	-promoter-TSS (AT5G60300.1)	-123	AT5G60300.3	AT5G60300	AT5G60300						NA
35S_BBM_GFP_ChIP_peak_18913	chr5	21619569	21619569	+	112.335	NA	promoter-TSS (AT5G53290.1)	-promoter-TSS (AT5G53290.1)	-302	AT5G53290.1	AT5G53290	AT5G53290						NA
35S_BBM_GFP_ChIP_peak_17522	chr5	10452084	10452084	+	112.274	NA	Intergenic	Intergenic	3112	AT5G28490.1	AT5G28490	AT5G28490						NA
35S_BBM_GFP_ChIP_peak_14005	chr4	11869014	11869014	+	112.137	NA	Intergenic	Intergenic	-2650	AT4G22540.1	AT4G22540	AT4G22540						NA
PLT1_DAP_peak_168	chr3	15687499	15687499	+	111.865	NA	promoter-TSS (AT3G43833.1)	-promoter-TSS (AT3G43833.1)	-55	AT3G43833.1	AT3G43833	AT3G43833						NA
35S_BBM_GFP_ChIP_peak_12286	chr3	22432764	22432764	+	111.791	NA	TTS (AT3G60680.1)	-TTS (AT3G60680.1)	-2357	AT3G60690.1	AT3G60690	AT3G60690						NA
35S_BBM_GFP_ChIP_peak_16825	chr5	6137005	6137005	+	111.754	NA	promoter-TSS (AT5G18490.1)	-promoter-TSS (AT5G18490.1)	-240	AT5G18490.1	AT5G18490	AT5G18490						NA
35S_BBM_GFP_ChIP_peak_11866	chr3	20262383	20262383	+	111.516	NA	promoter-TSS (AT3G54740.1)	-promoter-TSS (AT3G54740.1)	-8	AT3G54740.1	AT3G54740	AT3G54740						NA
35S_BBM_GFP_ChIP_peak_17869	chr5	15926558	15926558	+	111.516	NA	intron (AT5G39770.1, intron 4 of 31)	-intron (AT5G39770.1, intron 4 of 31)	991	AT5G39770.1	AT5G39770	AT5G39770						NA
35S_BBM_GFP_ChIP_peak_16756	chr5	5809279	5809279	+	111.408	NA	promoter-TSS (AT5G17620.1)	-promoter-TSS (AT5G17620.1)	-55	AT5G17630.1	AT5G17630	AT5G17630						NA
35S_BBM_GFP_ChIP_peak_10841	chr3	11383782	11383782	+	111.394	NA	exon (AT3G29575.1, exon 1 of 2)	-exon (AT3G29575.1, exon 1 of 2)	182	AT3G29575.3	AT3G29575	AT3G29575						NA
